Ideal pulse shape of 1,2 an 3 photons events.
laser=1540nm (0.8eV)
bias current = 10.5 uA 
temperature = 44mK
 
time	Amp_1ph_0.8eV	Amp_2ph_1.6eV	Amp_3ph_2.4eV
s	V	V	V

-1.16239E-5	1.12853E-4	3.25436E-4	3.02109E-4
-1.15839E-5	-2.79035E-4	-1.79731E-4	-4.32116E-5
-1.15439E-5	1.70121E-4	3.07261E-4	3.90329E-4
-1.15039E-5	2.17727E-5	2.27075E-4	2.94547E-4
-1.14639E-5	6.82266E-5	2.09969E-4	1.58435E-4
-1.14239E-5	-3.04927E-4	-2.48156E-4	3.74471E-5
-1.13839E-5	9.27482E-5	2.55942E-4	2.23971E-4
-1.13439E-5	1.39507E-4	9.98481E-5	4.02932E-4
-1.13039E-5	1.2854E-4	8.22073E-5	2.66821E-4
-1.12639E-5	-2.81015E-4	-2.34257E-4	-1.94447E-4
-1.12239E-5	1.47427E-4	1.15885E-4	2.06326E-4
-1.11839E-5	8.78743E-5	1.38872E-4	1.18106E-4
-1.11439E-5	1.26865E-4	1.23369E-4	8.02971E-5
-1.11039E-5	-3.3082E-4	-2.77023E-4	-4.31382E-4
-1.10639E-5	1.87788E-4	1.69877E-4	1.18106E-4
-1.10239E-5	1.26865E-4	9.5037E-5	1.13065E-4
-1.09839E-5	1.63419E-4	1.20696E-4	3.49266E-5
-1.09439E-5	-2.57712E-4	-3.67899E-4	-2.32256E-4
-1.09039E-5	2.26322E-4	1.7148E-4	1.65997E-4
-1.08639E-5	1.4697E-4	1.99278E-4	3.2406E-5
-1.08239E-5	1.51691E-4	2.55431E-5	9.54206E-5
-1.07839E-5	-2.54057E-4	-2.32653E-4	3.2406E-5
-1.07439E-5	2.09568E-4	2.17453E-4	6.02059E-4
-1.07039E-5	1.50625E-4	7.79308E-5	2.99588E-4
-1.06639E-5	1.74233E-4	2.58615E-4	3.57562E-4
-1.06239E-5	-3.13609E-4	-2.71677E-4	-4.54067E-4
-1.05839E-5	2.03476E-4	1.3406E-4	1.15585E-4
-1.05439E-5	1.39659E-4	1.76291E-4	3.19753E-4
-1.05039E-5	2.20382E-4	1.31922E-4	1.72825E-5
-1.04639E-5	-2.49335E-4	-3.11235E-4	-2.9527E-4
-1.04239E-5	1.15594E-4	2.66122E-5	2.01285E-4
-1.03839E-5	1.03867E-4	-1.72224E-5	1.60956E-4
-1.03439E-5	4.85789E-5	2.87505E-5	1.60956E-4
-1.03039E-5	-3.85955E-4	-4.24564E-4	-4.13738E-4
-1.02639E-5	2.05608E-4	1.90725E-4	1.58435E-4
-1.02239E-5	9.77743E-5	8.06036E-5	-1.01185E-4
-1.01839E-5	1.20773E-4	2.62891E-4	-1.11267E-4
-1.01439E-5	-3.18787E-4	-1.48726E-4	-3.25517E-4
-1.01039E-5	1.17117E-4	1.89656E-4	-5.07734E-5
-1.00639E-5	1.0539E-4	2.43112E-4	-4.82528E-5
-1.00239E-5	1.18336E-4	1.11609E-4	3.49266E-5
-9.98388E-6	-2.8132E-4	-2.52967E-4	-3.22997E-4
-9.94388E-6	1.72862E-4	1.89121E-4	1.38271E-4
-9.90388E-6	3.80697E-5	1.01986E-4	2.31532E-4
-9.86388E-6	9.32051E-5	2.3349E-4	-1.2135E-4
-9.82388E-6	-3.64784E-4	-2.6152E-4	-3.93573E-4
-9.78388E-6	1.17422E-4	2.17453E-4	-8.3541E-5
-9.74388E-6	1.14985E-4	1.31922E-4	-3.58285E-4
-9.70388E-6	5.19297E-5	4.0511E-5	-9.11028E-5
-9.66388E-6	-3.17417E-4	-3.16581E-4	-5.4985E-4
-9.62388E-6	1.59764E-4	1.54909E-4	7.02148E-5
-9.58388E-6	2.1925E-5	3.6769E-5	-6.84175E-5
-9.54388E-6	6.89881E-5	2.50085E-5	9.7207E-6
-9.50388E-6	-3.27164E-4	-3.6095E-4	-2.17132E-4
-9.46388E-6	9.99066E-5	7.73962E-5	-4.57322E-5
-9.42388E-6	8.71128E-5	-1.61533E-5	1.86162E-4
-9.38388E-6	1.51234E-4	-4.66237E-5	9.7207E-6
-9.34388E-6	-3.32495E-4	-3.33152E-4	-2.39817E-4
-9.30388E-6	1.88397E-4	1.14816E-4	1.96244E-4
-9.26388E-6	5.96974E-5	5.6548E-5	-1.36473E-4
-9.22388E-6	4.0202E-5	1.36199E-4	-8.60616E-5
-9.18388E-6	-3.36455E-4	-3.28876E-4	-4.99438E-4
-9.14388E-6	1.29607E-4	1.93398E-4	-2.39817E-4
-9.10388E-6	5.81743E-5	1.53305E-4	-2.85188E-4
-9.06388E-6	1.14528E-4	2.42043E-4	-1.99488E-4
-9.02388E-6	-3.60977E-4	-7.86978E-5	-6.50673E-4
-8.98388E-6	1.31434E-4	2.20126E-4	-2.30469E-5
-8.94388E-6	7.53851E-5	6.56357E-5	1.81121E-4
-8.90388E-6	2.46666E-5	-2.04298E-5	1.55915E-4
-8.86388E-6	-3.70877E-4	-3.45447E-4	-2.02009E-4
-8.82388E-6	1.34633E-4	7.41888E-5	1.91203E-4
-8.78388E-6	4.25733E-6	-1.82915E-5	-2.30469E-5
-8.74388E-6	7.61466E-5	2.12665E-5	1.30709E-4
-8.70388E-6	-3.45898E-4	-3.22461E-4	-7.34587E-5
-8.66388E-6	1.21687E-4	2.30817E-4	3.2406E-5
-8.62388E-6	1.10111E-4	1.79499E-4	-1.54852E-5
-8.58388E-6	1.5291E-4	2.42578E-4	-5.40282E-6
-8.54388E-6	-3.20311E-4	-3.37963E-4	-3.30558E-4
-8.50388E-6	1.81848E-4	1.26577E-4	3.9537E-4
-8.46388E-6	1.81239E-4	1.15351E-4	2.29012E-4
-8.42388E-6	1.24885E-4	-1.0273E-5	1.47619E-5
-8.38388E-6	-2.88021E-4	-3.18719E-4	-1.18829E-4
-8.34388E-6	1.60373E-4	1.19093E-4	1.76079E-4
-8.30388E-6	1.25647E-4	8.86222E-5	2.23971E-4
-8.26388E-6	1.53824E-4	7.89999E-5	3.24794E-4
-8.22388E-6	-2.74314E-4	-2.83972E-4	-1.49076E-4
-8.18388E-6	1.24885E-4	9.55715E-5	2.29012E-4
-8.14388E-6	4.53804E-5	1.07867E-4	4.24883E-5
-8.10388E-6	4.24866E-5	8.86222E-5	-2.42338E-4
-8.06388E-6	-3.40415E-4	-3.18184E-4	-5.92699E-4
-8.02388E-6	1.11177E-4	1.19627E-4	-1.28912E-4
-7.98388E-6	3.09112E-5	1.18023E-4	-5.83351E-5
-7.94388E-6	6.57897E-5	1.19627E-4	4.75295E-5
-7.90388E-6	-4.18244E-4	-3.74314E-4	-4.6667E-4
-7.86388E-6	7.72128E-5	3.35616E-5	8.02971E-5
-7.82388E-6	7.27958E-5	-9.09928E-5	2.51697E-4
-7.78388E-6	1.28236E-4	-3.16557E-5	3.19753E-4
-7.74388E-6	-3.6646E-4	-5.10095E-4	-1.91926E-4
-7.70388E-6	1.50473E-4	3.89073E-5	3.34876E-4
-7.66388E-6	7.56897E-5	5.01332E-5	1.63476E-4
-7.62388E-6	1.24124E-4	1.00406E-5	1.3575E-4
-7.58388E-6	-2.87869E-4	-4.21891E-4	-2.0957E-4
-7.54388E-6	1.95708E-4	1.21789E-5	2.16409E-4
-7.50388E-6	9.33574E-5	1.96628E-5	8.78589E-5
-7.46388E-6	1.02344E-4	1.37268E-4	2.48442E-5
-7.42388E-6	-2.98987E-4	-2.62055E-4	-7.84264E-4
-7.38388E-6	1.5687E-4	6.51011E-5	2.98854E-5
-7.34388E-6	7.81266E-5	1.00917E-4	1.98765E-4
-7.30388E-6	3.92881E-5	9.66407E-5	8.28177E-5
-7.26388E-6	-3.62195E-4	-3.33152E-4	-6.84175E-5
-7.22388E-6	1.07827E-4	-7.0656E-6	3.65123E-4
-7.18388E-6	4.4162E-5	5.60135E-5	2.97068E-4
-7.14388E-6	8.43712E-5	1.32991E-4	3.82767E-4
-7.10388E-6	-3.28383E-4	-3.8554E-4	-1.59159E-4
-7.06388E-6	9.88405E-5	5.38752E-5	2.74382E-4
-7.02388E-6	7.79743E-5	3.51653E-5	1.08024E-4
-6.98388E-6	9.15297E-5	2.87505E-5	-1.13788E-4
-6.94388E-6	-3.42243E-4	-3.29945E-4	-4.46505E-4
-6.90388E-6	1.02648E-4	8.00691E-5	-1.51597E-4
-6.86388E-6	8.52851E-5	7.20505E-5	-1.76803E-4
-6.82388E-6	1.4042E-4	1.36733E-4	3.2406E-5
-6.78388E-6	-3.28078E-4	-3.44378E-4	-7.03605E-4
-6.74388E-6	1.16508E-4	2.0732E-5	-2.32256E-4
-6.70388E-6	1.16508E-4	5.01332E-5	-3.58285E-4
-6.66388E-6	6.24389E-5	-2.79138E-5	-1.33953E-4
-6.62388E-6	-3.18026E-4	-3.92489E-4	-1.79323E-4
-6.58388E-6	1.13462E-4	1.00406E-5	6.76942E-5
-6.54388E-6	2.36004E-5	9.8779E-5	2.51697E-4
-6.50388E-6	1.2321E-4	5.33406E-5	3.49266E-5
-6.46388E-6	-3.427E-4	-5.04749E-4	-2.59982E-4
-6.42388E-6	1.29302E-4	1.76291E-4	1.08024E-4
-6.38388E-6	6.36574E-5	5.97555E-5	-1.61679E-4
-6.34388E-6	8.66558E-5	1.15885E-4	-3.56499E-5
-6.30388E-6	-3.24423E-4	-2.67935E-4	-3.17956E-4
-6.26388E-6	8.54374E-5	1.00383E-4	9.03795E-5
-6.22388E-6	5.63466E-5	6.61703E-5	1.55915E-4
-6.18388E-6	1.05237E-4	3.83727E-5	6.2653E-5
-6.14388E-6	-3.25641E-4	-3.80729E-4	-4.16258E-4
-6.10388E-6	1.16356E-4	8.48802E-5	2.51697E-4
-6.06388E-6	4.84266E-5	9.39678E-5	2.61779E-4
-6.02388E-6	7.21866E-5	6.24283E-5	3.24794E-4
-5.98388E-6	-3.3676E-4	-3.60415E-4	1.00462E-4
-5.94388E-6	1.62353E-4	1.31388E-4	4.68467E-4
-5.90388E-6	4.62943E-5	3.56999E-5	4.65947E-4
-5.86388E-6	7.70605E-5	7.1516E-5	4.20576E-4
-5.82388E-6	-3.96617E-4	-2.96802E-4	-2.30469E-5
-5.78388E-6	5.55851E-5	1.4689E-4	4.00412E-4
-5.74388E-6	4.29435E-5	1.22835E-4	2.23236E-5
-5.70388E-6	4.70558E-5	1.56512E-4	-1.49076E-4
-5.66388E-6	-3.2686E-4	-2.65797E-4	-5.22123E-4
-5.62388E-6	1.16204E-4	8.64839E-5	-3.56499E-5
-5.58388E-6	1.01887E-4	8.00691E-5	9.29001E-5
-5.54388E-6	1.28388E-4	1.96628E-5	2.13888E-4
-5.50388E-6	-2.90458E-4	-3.39033E-4	-1.61679E-4
-5.46388E-6	2.2221E-4	1.72015E-4	4.43262E-4
-5.42388E-6	1.09045E-4	-8.66931E-6	1.98765E-4
-5.38388E-6	1.48645E-4	1.05194E-4	2.48442E-5
-5.34388E-6	-2.83147E-4	-2.19289E-4	-3.05353E-4
-5.30388E-6	1.60068E-4	1.42079E-4	4.60906E-4
-5.26388E-6	1.15899E-4	1.10005E-4	2.84465E-4
-5.22388E-6	7.82789E-5	8.27419E-5	9.54206E-5
-5.18388E-6	-3.2686E-4	-3.64157E-4	-2.0705E-4
-5.14388E-6	9.50328E-5	1.89121E-4	1.73559E-4
-5.10388E-6	4.38574E-5	4.15801E-5	2.48442E-5
-5.06388E-6	8.90928E-5	7.09814E-5	3.99677E-5
-5.02388E-6	-3.62195E-4	-3.63088E-4	-4.84314E-4
-4.98388E-6	1.55956E-4	9.55715E-5	1.20627E-4
-4.94388E-6	9.13774E-5	4.90641E-5	-1.6672E-4
-4.90388E-6	1.27017E-4	8.3811E-5	9.29001E-5
-4.86388E-6	-2.89392E-4	-3.93559E-4	-2.0957E-4
-4.82388E-6	1.45447E-4	4.53221E-5	1.45832E-4
-4.78388E-6	1.4697E-4	-2.04298E-5	5.76118E-5
-4.74388E-6	1.67531E-4	1.39406E-4	9.03795E-5
-4.70388E-6	-3.43157E-4	-3.06959E-4	-3.15435E-4
-4.66388E-6	1.67227E-4	1.21231E-4	-1.36473E-4
-4.62388E-6	1.32805E-4	1.23904E-4	-8.60616E-5
-4.58388E-6	1.24428E-4	1.5277E-4	-2.19653E-4
-4.54388E-6	-3.11781E-4	-3.67365E-4	-7.74182E-4
-4.50388E-6	1.51387E-4	7.47234E-5	7.20011E-6
-4.46388E-6	4.46189E-5	1.67738E-4	-2.0705E-4
-4.42388E-6	4.97974E-5	6.4032E-5	-9.11028E-5
-4.38388E-6	-3.85498E-4	-3.3636E-4	-4.31382E-4
-4.34388E-6	8.83312E-5	1.10005E-4	-2.24694E-4
-4.30388E-6	2.86266E-5	2.76813E-5	-1.33953E-4
-4.26388E-6	1.10264E-4	1.05728E-4	-2.04529E-4
-4.22388E-6	-3.46203E-4	-2.1234E-4	-5.14561E-4
-4.18388E-6	9.04635E-5	1.02521E-4	8.78589E-5
-4.14388E-6	9.42712E-5	1.37826E-5	-8.3541E-5
-4.10388E-6	1.39202E-4	9.77098E-5	6.01324E-5
-4.06388E-6	-2.81929E-4	-3.70038E-4	-2.32256E-4
-4.02388E-6	1.73928E-4	1.21765E-4	2.03806E-4
-3.98388E-6	1.15594E-4	1.30318E-4	3.55041E-4
-3.94388E-6	9.94497E-5	4.90641E-5	2.31532E-4
-3.90388E-6	-3.11477E-4	-2.4976E-4	-2.17132E-4
-3.86388E-6	1.46817E-4	1.92328E-4	2.71862E-4
-3.82388E-6	1.34633E-4	7.31197E-5	7.02148E-5
-3.78388E-6	9.13774E-5	1.42079E-4	-6.84175E-5
-3.74388E-6	-2.74161E-4	-2.31584E-4	-5.32205E-4
-3.70388E-6	2.20534E-4	2.36163E-4	9.79412E-5
-3.66388E-6	7.88881E-5	2.01951E-4	1.86162E-4
-3.62388E-6	1.09502E-4	1.01986E-4	1.20627E-4
-3.58388E-6	-3.06755E-4	-3.48655E-4	-2.02009E-4
-3.54388E-6	8.45235E-5	1.39941E-4	1.02982E-4
-3.50388E-6	1.2482E-5	4.15801E-5	1.02982E-4
-3.46388E-6	6.1982E-5	8.11382E-5	-8.85822E-5
-3.42388E-6	-3.77121E-4	-2.2517E-4	-2.62503E-4
-3.38388E-6	1.34785E-4	1.42614E-4	2.03806E-4
-3.34388E-6	6.65512E-5	1.05728E-4	-5.3294E-5
-3.30388E-6	1.29607E-4	6.7774E-5	1.10544E-4
-3.26388E-6	-3.63109E-4	-2.11271E-4	-2.0957E-4
-3.22388E-6	1.50625E-4	2.59149E-4	3.24794E-4
-3.18388E-6	1.02344E-4	1.34595E-4	2.76903E-4
-3.14388E-6	-3.66267E-6	8.80876E-5	2.84465E-4
-3.10388E-6	-3.71791E-4	-4.06388E-4	-2.90229E-4
-3.06388E-6	1.13919E-4	7.36775E-6	9.03795E-5
-3.02388E-6	4.29435E-5	2.23357E-5	1.58435E-4
-2.98388E-6	1.0143E-4	3.24925E-5	-1.13788E-4
-2.94388E-6	-3.17264E-4	-4.14407E-4	-6.3807E-4
-2.90388E-6	1.74994E-4	1.47959E-4	-7.59792E-5
-2.86388E-6	7.73651E-5	1.07332E-4	2.73648E-5
-2.82388E-6	8.01066E-5	9.39678E-5	1.58435E-4
-2.78388E-6	-3.07821E-4	-3.24599E-4	-3.91053E-4
-2.74388E-6	1.54585E-4	1.85379E-4	2.08847E-4
-2.70388E-6	1.29302E-4	2.05158E-4	2.01285E-4
-2.66388E-6	1.2321E-4	2.22799E-4	2.26491E-4
-2.62388E-6	-3.00815E-4	-2.70608E-4	-2.55675E-5
-2.58388E-6	1.87179E-4	8.48802E-5	5.54167E-4
-2.54388E-6	1.31587E-4	1.67738E-4	5.56688E-4
-2.50388E-6	1.07522E-4	2.39905E-4	4.96194E-4
-2.46388E-6	-3.63871E-4	-2.16616E-4	-2.05263E-5
-2.42388E-6	1.01277E-4	3.2009E-4	1.05503E-4
-2.38388E-6	4.82743E-5	2.29214E-4	8.53383E-5
-2.34388E-6	9.73174E-5	1.98743E-4	-8.60616E-5
-2.30388E-6	-2.83909E-4	-1.49261E-4	-4.74232E-4
-2.26388E-6	2.06065E-4	3.32385E-4	1.50874E-4
-2.22388E-6	1.49864E-4	2.38836E-4	2.48442E-5
-2.18388E-6	1.73624E-4	1.63996E-4	-1.44035E-4
-2.14388E-6	-2.30754E-4	-1.73316E-4	-3.02832E-4
-2.10388E-6	2.37136E-4	2.04089E-4	1.86162E-4
-2.06388E-6	1.80477E-4	2.05158E-4	3.99677E-5
-2.02388E-6	1.89464E-4	2.93362E-4	2.89506E-4
-1.98388E-6	-2.40958E-4	-1.72782E-4	-3.30558E-4
-1.94388E-6	1.63724E-4	3.48957E-4	1.15585E-4
-1.90388E-6	1.25799E-4	3.23832E-4	4.18056E-4
-1.86388E-6	1.55499E-4	3.29713E-4	-2.05263E-5
-1.82388E-6	-2.7538E-4	-7.17484E-5	-1.56638E-4
-1.78388E-6	2.10634E-4	3.38266E-4	4.40741E-4
-1.74388E-6	1.40725E-4	2.75187E-4	2.48442E-5
-1.70388E-6	1.3844E-4	3.10468E-4	3.22273E-4
-1.66388E-6	-2.7736E-4	-7.38867E-5	7.27354E-5
-1.62388E-6	1.028E-4	2.90154E-4	4.45782E-4
-1.58388E-6	7.88881E-5	2.42578E-4	6.19703E-4
-1.54388E-6	1.28236E-4	3.03519E-4	4.15535E-4
-1.50388E-6	-2.78274E-4	-1.79197E-4	1.23147E-4
-1.46388E-6	1.73776E-4	2.58615E-4	7.63376E-4
-1.42388E-6	1.46665E-4	1.38337E-4	4.63426E-4
-1.38388E-6	1.43467E-4	6.83086E-5	5.89456E-4
-1.34388E-6	-2.6548E-4	-1.22532E-4	2.11368E-4
-1.30388E-6	7.82789E-5	2.52735E-4	5.97017E-4
-1.26388E-6	6.27435E-5	1.70411E-4	7.18006E-4
-1.22388E-6	1.19707E-4	1.99812E-4	7.25567E-4
-1.18388E-6	-3.27621E-4	-3.04286E-4	4.23097E-4
-1.14388E-6	1.93424E-4	2.91758E-4	6.24744E-4
-1.10388E-6	1.5093E-4	1.81637E-4	3.9537E-4
-1.06388E-6	1.226E-4	2.54873E-4	5.61729E-4
-1.02388E-6	-2.54209E-4	-1.67436E-4	2.06326E-4
-9.83884E-7	1.76061E-4	3.02984E-4	4.63426E-4
-9.43884E-7	1.00668E-4	1.87517E-4	3.60082E-4
-9.03884E-7	6.0002E-5	1.89121E-4	2.44135E-4
-8.63884E-7	-3.77883E-4	-1.36966E-4	-4.0691E-5
-8.23884E-7	1.1529E-4	2.88016E-4	1.76079E-4
-7.83884E-7	6.07635E-5	2.64495E-4	1.10544E-4
-7.43884E-7	1.50168E-4	2.97104E-4	1.48353E-4
-7.03884E-7	-3.16503E-4	-6.21262E-5	-1.84364E-4
-6.63884E-7	1.80934E-4	3.55372E-4	4.30659E-4
-6.23884E-7	1.26256E-4	2.25472E-4	3.0967E-4
-5.83884E-7	5.46712E-5	2.36163E-4	3.39918E-4
-5.43884E-7	-3.87174E-4	-1.39104E-4	-2.0957E-4
-5.03884E-7	1.66617E-4	3.84773E-4	1.60956E-4
-4.63884E-7	1.00059E-4	2.0302E-4	4.83591E-4
-4.23884E-7	1.64333E-4	1.95536E-4	5.16359E-4
-3.83884E-7	-2.00749E-4	-1.11306E-4	8.53383E-5
-3.43884E-7	1.27474E-4	3.93326E-4	5.49126E-4
-3.03884E-7	1.32044E-4	3.52164E-4	4.60906E-4
-2.63884E-7	1.82457E-4	3.45215E-4	7.63376E-4
-2.23884E-7	-3.4072E-4	-1.27344E-4	8.78589E-5
-1.83884E-7	2.4003E-4	3.00311E-4	3.57562E-4
-1.43884E-7	1.1072E-4	1.92328E-4	5.51647E-4
-1.03884E-7	9.89928E-5	2.62357E-4	4.357E-4
-6.3884E-8	-2.47964E-4	-1.88284E-4	-8.10204E-5
-2.3884E-8	1.75147E-4	2.86947E-4	5.59209E-4
1.6116E-8	9.13774E-5	1.64531E-4	4.18056E-4
5.6116E-8	1.03714E-4	1.3406E-4	2.61779E-4
9.6116E-8	-3.75751E-4	-1.4445E-4	6.2653E-5
1.36116E-7	-1.87498E-4	-3.47586E-4	-6.58235E-4
1.76116E-7	-0.00581	-0.01053	-0.01511
2.16116E-7	-0.01974	-0.03577	-0.05028
2.56116E-7	-0.03155	-0.05821	-0.08259
2.96116E-7	-0.03901	-0.07306	-0.10442
3.36116E-7	-0.04416	-0.08366	-0.12021
3.76116E-7	-0.04581	-0.08785	-0.12736
4.16116E-7	-0.047	-0.08999	-0.13084
4.56116E-7	-0.04711	-0.09036	-0.13206
4.96116E-7	-0.04663	-0.08963	-0.13113
5.36116E-7	-0.046	-0.08913	-0.13006
5.76116E-7	-0.04587	-0.08826	-0.12901
6.16116E-7	-0.04524	-0.08672	-0.12745
6.56116E-7	-0.04483	-0.08632	-0.12593
6.96116E-7	-0.04406	-0.08539	-0.12469
7.36116E-7	-0.04406	-0.0846	-0.12353
7.76116E-7	-0.04354	-0.08338	-0.12237
8.16116E-7	-0.04308	-0.08297	-0.12116
8.56116E-7	-0.04247	-0.08232	-0.11997
8.96116E-7	-0.04258	-0.08161	-0.11919
9.36116E-7	-0.04208	-0.08063	-0.1182
9.76116E-7	-0.04167	-0.08029	-0.1171
1.01612E-6	-0.04108	-0.07967	-0.11591
1.05612E-6	-0.04108	-0.07909	-0.11556
1.09612E-6	-0.04069	-0.07822	-0.11436
1.13612E-6	-0.04027	-0.07765	-0.11313
1.17612E-6	-0.0397	-0.07705	-0.11227
1.21612E-6	-0.03979	-0.07652	-0.11177
1.25612E-6	-0.0394	-0.07564	-0.11073
1.29612E-6	-0.03906	-0.07512	-0.10958
1.33612E-6	-0.03851	-0.07442	-0.10856
1.37612E-6	-0.03856	-0.07407	-0.10843
1.41612E-6	-0.03828	-0.07332	-0.1075
1.45612E-6	-0.0379	-0.07274	-0.10623
1.49612E-6	-0.03737	-0.07208	-0.10542
1.53612E-6	-0.03737	-0.07177	-0.1051
1.57612E-6	-0.03714	-0.07121	-0.10405
1.61612E-6	-0.0368	-0.07052	-0.10321
1.65612E-6	-0.03628	-0.06985	-0.10197
1.69612E-6	-0.03632	-0.06961	-0.10172
